CUIT: 30-65703377-0 - Fecha de emisión: 27/03/2026
Fecha Operación,Formulario,Version,Impuesto,Periodo,Importe,Observaciones
"=""17/07/2025""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20250700""","=""$ 29.289,93""","=""02 - Comprobante general"""
"=""10/07/2025""","=""1744""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20250600""","=""$ 25.706,80""","=""02 - Comprobante general"""
"=""07/07/2025""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20250600""","=""$ 25.706,80""","=""02 - Comprobante general"""
"=""07/07/2025""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20250600""","=""$ 5.689,56""","=""02 - Comprobante general"""
"=""07/07/2025""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20250600""","=""$ 3.274.256,57""","=""02 - Comprobante general"""
"=""07/07/2025""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20250600""","=""$ 812.999,40""","=""02 - Comprobante general"""
"=""07/07/2025""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20250600""","=""$ 2.899.794,66""","=""02 - Comprobante general"""
"=""07/07/2025""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20250600""","=""$ 1.397.418,51""","=""02 - Comprobante general"""
"=""07/07/2025""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20250600""","=""$ 912.804,66""","=""02 - Comprobante general"""
"=""17/06/2025""","=""800""","=""0""","=""30 - IVA""","=""20250300""","=""$ 2.424.329,12""","=""02 - Comprobante general"""
"=""05/06/2025""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20250500""","=""$ 1.855.501,41""","=""02 - Comprobante general"""
"=""05/06/2025""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20250500""","=""$ 522.572,80""","=""02 - Comprobante general"""
"=""05/06/2025""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20250500""","=""$ 593.975,46""","=""02 - Comprobante general"""
"=""05/06/2025""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20250500""","=""$ 2.041.855,40""","=""02 - Comprobante general"""
"=""05/06/2025""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20250500""","=""$ 875.699,42""","=""02 - Comprobante general"""
"=""05/06/2025""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20250500""","=""$ 5.689,56""","=""02 - Comprobante general"""
"=""03/06/2025""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20250500""","=""$ 937.743,80""","=""02 - Comprobante general"""
"=""13/05/2025""","=""800""","=""0""","=""30 - IVA""","=""20250300""","=""$ 3.000.000,00""","=""02 - Comprobante general"""
"=""07/05/2025""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20250400""","=""$ 792.283,32""","=""02 - Comprobante general"""
